Hyb-10,Hyb-12,Hyb-16,Hyb-17,Hyb-22,Hyb-23,Hyb-24,Hyb-25,Hyb-30,Hyb-32,Hyb-34,Hyb-37,Hyb-39,Hyb-44,Hyb-58,Hyb-6
5769.500561,,6460.274873,8410.31647,,,,,8573.460482,,7912.635993,7681.053309,7821.507324,,7011.925354,6408.160299
5777.524225,,6472.618502,8427.186317,,,,,8841.031538,,7983.361605,7764.160313,7948.169876,,7034.993551,6457.029301
5781.826075,,6475.70317,8451.216415,,,,,8889.811739,,8024.593171,8103.077471,8011.420845,,7035.746124,6465.838345
5783.999298,,6484.074487,8457.534361,,,,,8912.670219,,8029.901856,8144.077187,8014.966672,,7066.196033,6486.430458
5830.748085,,6492.265477,8470.760602,,,,,8979.322817,,8105.454284,8232.907117,8022.48062,,7110.359148,6488.144753
5841.177091,,6499.933374,8497.082626,,,,,8993.80123,,8205.69282,8244.880313,8043.944003,,7122.777099,6497.956591
5853.979411,,6515.475844,8547.433044,,,,,9160.05034,,8228.874437,8350.380143,8121.683789,,7175.301911,6502.421454
5866.923039,,6538.042861,8605.521758,,,,,9198.955738,,8254.883721,8509.833022,8135.05306,,7248.706023,6522.848294
5883.148699,,6580.620718,8624.121152,,,,,9291.037943,,8268.61593,8563.32108,8396.522029,,7313.727799,6537.103411
5950.474291,,6590.544872,8741.528239,,,,,9315.27193,,8339.502386,8576.661312,8486.08804,,7329.377054,6560.201696
6005.401526,,6599.560665,8794.337639,,,,,9403.128964,,8361.898112,9932.868866,8626.413276,,7365.75773,6568.232794
6007.90913,,6609.194483,8858.410822,,,,,10121.88542,,8576.905453,10168.02888,8671.857137,,7396.946651,6584.889945
6028.171835,,6659.665698,8912.413672,,,,,,,8590.643877,,8695.003655,,7399.089468,6605.066885
6046.52907,,6685.123591,8986.696976,,,,,,,8662.240148,,8756.016442,,7478.612421,6621.53108
6052.482778,,6774.905327,8989.034168,,,,,,,8695.864543,,8814.59272,,7487.405402,6648.299283
6073.941197,,6780.679152,9113.754751,,,,,,,8790.110844,,8872.641082,,7535.023111,6664.400248
6102.082471,,6784.437167,9203.390066,,,,,,,8837.212024,,8893.074935,,7550.93956,6690.246409
6120.765301,,6811.616019,9475.716318,,,,,,,8839.866217,,8931.617908,,7557.768252,6756.183826
6150.174419,,6825.299173,9585.700337,,,,,,,9005.538969,,9164.140407,,7576.984896,6780.820336
6174.868705,,6860.449984,9652.271137,,,,,,,9066.838019,,9193.426266,,7581.525999,6797.771318
6217.878788,,6932.002783,9675.316271,,,,,,,9096.880448,,9219.327632,,7606.395349,6803.589401
6251.18049,,6950.211967,9783.975291,,,,,,,9142.735951,,9363.047693,,7721.14004,6808.643301
6320.511295,,6962.416099,10000.46981,,,,,,,9175.157461,,9390.00805,,7739.452196,6811.127013
6328.529363,,6990.869245,10056.85737,,,,,,,9324.651163,,9429.543198,,7740.877029,6834.28613
6351.866069,,7052.667092,10145.0965,,,,,,,9418.196401,,9700.291879,,7824.332886,6837.631375
6373.067634,,7055.606803,10611.08106,,,,,,,9458.673848,,9855.540356,,7846.031604,6919.948288
6403.536513,,7109.8146,10740.53705,,,,,,,9643.526735,,10898.59557,,7859.576873,6953.290741
6406.934461,,7181.419109,11034.7275,,,,,,,9870.50087,,11210.52944,,7907.886484,6985.284658
6415.852713,,7272.777349,11714.83951,,,,,,,10422.56199,,11482.06256,,7977.892846,6985.78726
6425.941711,,7284.653144,12441.24501,,,,,,,10850.64292,,,,7983.362574,7005.195574
6427.325581,,7291.693583,,,,,,,,11290.72682,,,,7985.838213,7010.484123
6477.599179,,7327.396194,,,,,,,,,,,,8003.704051,7020.284727
6486.802326,,7344.099225,,,,,,,,,,,,8048.452983,7055.111434
6518.90653,,7381.101275,,,,,,,,,,,,8058.358914,7103.556218
6520.093023,,7388.87155,,,,,,,,,,,,8153.9212,7138.404586
6521.941554,,7394.059307,,,,,,,,,,,,8180.105975,7141.960564
6533.579799,,7445.375695,,,,,,,,,,,,8199.717447,7155.096018
6535.148586,,7489.784147,,,,,,,,,,,,8208.583885,7188.004268
6543.474806,,7510.093312,,,,,,,,,,,,8311.324682,7212.599518
6555.485294,,7511.194561,,,,,,,,,,,,8315.914597,7219.408156
6617.732558,,7527.436778,,,,,,,,,,,,8318.362906,7245.238095
6695.220385,,7551.238818,,,,,,,,,,,,8338.284884,7304.725489
6704.567221,,7565.146386,,,,,,,,,,,,8435.070464,7305.036903
6713.956923,,7639.796056,,,,,,,,,,,,8439.935655,7315.463976
6740.226462,,7657.086274,,,,,,,,,,,,8482.643743,7315.764871
6766.469656,,7686.666474,,,,,,,,,,,,8531.764706,7429.574307
6801.084494,,7722.583744,,,,,,,,,,,,8636.150259,7433.06682
6802.179487,,7735.124015,,,,,,,,,,,,8700.2175,7485.234727
6871.019678,,7878.110703,,,,,,,,,,,,8730.369669,7509.50065
6881.409031,,7961.470978,,,,,,,,,,,,8829.620125,7514.590787
6894.398042,,8093.973098,,,,,,,,,,,,8906.55659,7542.744515
6903.949159,,8225.630954,,,,,,,,,,,,8995.12838,7628.966683
6907.959916,,8228.848183,,,,,,,,,,,,9062.872284,7648.784626
6922.322984,,8278.550651,,,,,,,,,,,,9082.362197,7649.544598
6949.69144,,8329.576548,,,,,,,,,,,,9178.687087,7653.118236
7016.554038,,8342.476244,,,,,,,,,,,,9183.548365,7670.280895
7064.961479,,8353.797754,,,,,,,,,,,,9433.378565,7672.893995
7066.050808,,8377.303872,,,,,,,,,,,,9447.008234,7676.047623
7140.887669,,8380.600775,,,,,,,,,,,,9447.234139,7702.514436
7211.182067,,8406.546148,,,,,,,,,,,,9524.913147,7718.314685
7249.106154,,8424.540794,,,,,,,,,,,,9666.897963,7735.535767
7323.797148,,8611.412145,,,,,,,,,,,,9754.004717,7735.986297
7323.968366,,8620.691739,,,,,,,,,,,,9870.858351,7779.504441
7334.839726,,8626.703691,,,,,,,,,,,,10234.15698,7781.23231
7436.667799,,8779.869983,,,,,,,,,,,,10299.02471,7810.975034
7470.912396,,8826.5625,,,,,,,,,,,,10355.56259,7819.833416
7505.217733,,8927.779125,,,,,,,,,,,,10718.90898,7824.056604
7568.901744,,8969.024523,,,,,,,,,,,,10767.22426,7940.653796
7660.266673,,8971.875188,,,,,,,,,,,,10861.27459,8018.646494
7664.166667,,9100.100012,,,,,,,,,,,,10963.97309,8019.898256
7674.635841,,9193.865053,,,,,,,,,,,,11387.86796,8035.714286
7678.552529,,9336.721765,,,,,,,,,,,,,8048.982558
7688.774272,,9405.512285,,,,,,,,,,,,,8058.439484
7700.371124,,9418.72533,,,,,,,,,,,,,8072.513781
